code,name,eog_score_black
290306,Northwest Elementary,N/A
290307,Southmont Elementary,N/A
290308,Central Davidson High,N/A
600592,Vance High,31.1
290309,Central Davidson Middle,34.8
290310,Stoner-Thomas School,N/A
290312,Churchland Elementary,N/A
290314,Davidson County High School,N/A
290315,Davidson Early College,N/A
290316,Davis-Townsend Elementary,N/A
290320,Denton Elementary,N/A
290322,E Lawson Brown Middle,N/A
290324,East Davidson High,N/A
290328,Fair Grove Elementary,N/A
290330,Friedberg Elementary,N/A
290332,Hasty Elementary,50
290333,Friendship Elementary,N/A
290334,Ledford Middle,53
290344,Midway Elementary,N/A
290348,North Davidson High,N/A
290349,Oak Grove High,N/A
32N000,Research Triangle High School,46.2
290350,North Davidson Middle,42.5
290351,Oak Grove Middle,54.2
290352,Pilot Elementary,N/A
290356,Reeds Elementary,N/A
290364,Silver Valley Elementary,N/A
290365,South Davidson High,N/A
41K000,Piedmont Classical High School,23.9
290366,Southwood Elementary,N/A
290367,South Davidson Middle,N/A
290375,Tyro Elementary,N/A
290376,Tyro Middle,38.2
290380,Wallburg Elementary,63.5
290384,Welcome Elementary,26.7
290388,West Davidson High,N/A
92U000,Longleaf School of the Arts,28.1
290389,Yadkin Valley Regional Career Academy,N/A
291308,Charles England Elementary School,33.3
291332,Lexington Middle School,34.7
291336,Lexington Senior High School,35.6
291340,Pickett Elementary School,46.1
291348,South Lexington School,N/A
291350,South Lexington Developmental Center,N/A
291352,Southwest Elementary School,47.1
292316,Liberty Drive Elementary,23.5
292318,Thomasville Primary,42.4
292320,Thomasville Middle,34
292324,Thomasville High,37.7
190336,Jordan Matthews High,29.2
295300,Southside Ashpole Elementary,17.8
298202,Eastern NC School for the Deaf,N/A
298203,Gov. Morehead School f/t Blind,N/A
298204,NC School for the Deaf,N/A
300306,Central Davie Academy,N/A
300308,Cooleemee Elementary,39.7
300310,Cornatzer Elementary,N/A
300314,Davie County Early College High,N/A
300320,Mocksville Elementary,37.5
300325,North Davie Middle,N/A
300326,Pinebrook Elementary,N/A
300328,Shady Grove Elementary,N/A
300330,South Davie Middle,29.4
300336,William R Davie Elementary,N/A
300337,William Ellis Middle,36.1
310304,B F Grady Elementary,32.8
310308,Beulaville Elementary,36.5
310330,Chinquapin Elementary,42.7
310336,Warsaw Elementary,30.8
310338,Duplin Early College High,N/A
310352,James Kenan High,16.5
310356,Kenansville Elementary,39.4
310360,North Duplin Elementary,45.5
310364,North Duplin Jr Sr High,31.9
310384,Rose Hill-Magnolia Elementary,35.8
310388,Wallace Elementary,23.8
230361,Shelby High,21.3
320304,Bethesda Elementary,31.9
320306,Brogden Middle,30.3
320308,Burton Elementary,48.1
320309,J D Clement Early College HS,>95
320310,Eastway Elementary,22.1
320313,Easley Elementary,44.8
320314,The School for Creative Studies,41.4
320315,Eno Valley Elementary,33.4
320316,George L Carrington Middle,33.5
320317,City of Medicine Academy,86.9
320318,Club Boulevard Elementary,34.4
320319,Creekside Elementary,40.4
320320,Glenn Elementary,29.2
320322,Durham's Performance Learning Center,N/A
