code,name,county,city,full_address,long,lat
60M000,Corvian Community School,Mecklenburg,Charlotte,"9501 David Taylor Dr, Charlotte, NC 28262",-80.7565163,35.3229011
60N000,Aristotle Preparatory Academy,Mecklenburg,Charlotte,"8101 Fallsdale Drive, Charlotte, NC 28214",-80.9523886,35.3054137
60P000,Charlotte Choice Charter,Mecklenburg,Charlotte,"3118 Milton Road, Suite A, Charlotte, NC 28215",-80.7366961,35.2348691
60Q000,Invest Collegiate Transform,Mecklenburg,Charlotte,"2045 Suttle Ave, Charlotte, NC 28208",-80.8710736,35.2254646
60S000,Bradford Preparatory School,Mecklenburg,Charlotte,"2502 Salome Church Rd, Charlotte, NC 28262",-80.7213251,35.3456415
60U000,Commonwealth High,Mecklenburg,Charlotte,"5112 Central Ave, Charlotte, NC 28205",-80.7584212,35.2095612
60V000,Charlotte Learning Academy,Mecklenburg,Charlotte,"800 Briar Creek Rd., DD400, Charlotte, NC 28205",-80.7976804,35.2072338
60Y000,Pioneer Springs Community School,Mecklenburg,Charlotte,"9300 Bob Beatty Rd., Charlotte, NC 28269",-80.8225106,35.348309
610302,Bowman Middle,Mitchell,Bakersville,"410 S Mitchell Avenue, Bakersville, NC 28705",-82.1557289,36.010437
610310,Deyton Elementary,Mitchell,Spruce Pine,"308 Harris Street, Spruce Pine, NC 28777",-82.0883315,35.909666
610320,Gouge Elementary,Mitchell,Bakersville,"134 Laurel Street, Bakersville, NC 28705",-82.152218,36.012928
610322,Greenlee Primary,Mitchell,Spruce Pine,"2206 Carters Ridge Road, Spruce Pine, NC 28777",-82.054104,35.884071
610326,Harris Middle,Mitchell,Spruce Pine,"121 Harris Street, Spruce Pine, NC 28777",-82.084706,35.909659
610332,Mayland Early College,Mitchell,Spruce Pine,"264 Mayland Dr, Spruce Pine, NC 28777",-82.0163843,35.9326643
610334,Mitchell High,Mitchell,Bakersville,"416 Ledger School Rd, Bakersville, NC 28705",-82.117424,35.970355
610LEA,Mitchell County Schools,Mitchell,Bakersville,"72 Ledger School Rd, Bakersville, NC 28705",-82.1151265,35.9656385
61J000,Thunderbird Preparatory Academy,Mecklenburg,Cornelius,"17609 Old Statesville Rd, Cornelius, NC 28031",-80.843574,35.4520617
61K000,United Community School,Mecklenburg,Charlotte,"1406 Suther Road, Charlotte, NC 28213",-80.7275391,35.2999409
61L000,Stewart Creek High,Mecklenburg,Charlotte,"2701-F Freedom Dr, Charlotte, NC 28208",-80.8854548,35.2364565
61M000,Charlotte Lab School,Mecklenburg,Charlotte,"301 E 9th Street, Charlotte, NC 28202",-80.8349244,35.2291916
61N000,Queen City STEM School,Mecklenburg,Charlotte,"8701 Mallard Creek Rd, Charlotte, NC 28262",-80.7755659,35.3230964
61P000,"VERITAS Community School, CFA",Mecklenburg,Charlotte,"2600 Grimes Street, Charlotte, NC 28206",-80.821468,35.252515
