code,name,eog_score_latino
290344,Midway Elementary,54.8
290348,North Davidson High,54.5
290349,Oak Grove High,61.1
290350,North Davidson Middle,47.5
290351,Oak Grove Middle,52.8
290352,Pilot Elementary,50
290356,Reeds Elementary,N/A
290364,Silver Valley Elementary,N/A
290365,South Davidson High,N/A
290366,Southwood Elementary,40.5
290367,South Davidson Middle,N/A
290375,Tyro Elementary,N/A
290376,Tyro Middle,53.6
290380,Wallburg Elementary,65
290384,Welcome Elementary,53.1
290389,Yadkin Valley Regional Career Academy,N/A
291308,Charles England Elementary School,46.2
291332,Lexington Middle School,45.4
291336,Lexington Senior High School,33.3
291340,Pickett Elementary School,49.4
291348,South Lexington School,N/A
291350,South Lexington Developmental Center,N/A
291352,Southwest Elementary School,51.9
292316,Liberty Drive Elementary,35.9
292318,Thomasville Primary,50
292320,Thomasville Middle,40.1
292324,Thomasville High,50.9
295300,Southside Ashpole Elementary,N/A
298202,Eastern NC School for the Deaf,N/A
298203,Gov. Morehead School f/t Blind,N/A
298204,NC School for the Deaf,N/A
300306,Central Davie Academy,N/A
300308,Cooleemee Elementary,56
300310,Cornatzer Elementary,50
300312,Davie County High,49.3
300314,Davie County Early College High,N/A
300320,Mocksville Elementary,50
300325,North Davie Middle,50
300326,Pinebrook Elementary,36.8
300328,Shady Grove Elementary,N/A
300330,South Davie Middle,56.7
300336,William R Davie Elementary,38.5
300337,William Ellis Middle,60.9
310304,B F Grady Elementary,37.5
310308,Beulaville Elementary,50
310330,Chinquapin Elementary,50
310336,Warsaw Elementary,38.1
310338,Duplin Early College High,73.2
310344,East Duplin High,40.8
310352,James Kenan High,31.6
230324,Crest High,48.6
310356,Kenansville Elementary,49
310360,North Duplin Elementary,49.3
310364,North Duplin Jr Sr High,56
310384,Rose Hill-Magnolia Elementary,41.1
310388,Wallace Elementary,40.7
310392,Wallace-Rose Hill High,34.3
320304,Bethesda Elementary,47.7
320306,Brogden Middle,34.2
320308,Burton Elementary,66.8
320309,J D Clement Early College HS,>95
320310,Eastway Elementary,31.8
240334,East Columbus High,25.8
320313,Easley Elementary,54.2
320314,The School for Creative Studies,41.9
320315,Eno Valley Elementary,46.7
320316,George L Carrington Middle,40.1
320317,City of Medicine Academy,83.8
320318,Club Boulevard Elementary,43.4
320319,Creekside Elementary,30.3
320320,Glenn Elementary,34.9
